Fecha,Clics,Impresiones,CTR,Posición
2025-12-01,0,4,0%,54.5
2025-11-30,0,1,0%,61
2025-11-29,0,2,0%,72
2025-11-28,0,1,0%,80
2025-11-27,0,12,0%,66.33
2025-11-26,0,7,0%,52
2025-11-25,0,12,0%,54.17
2025-11-24,0,12,0%,46.58
2025-11-23,0,1,0%,57
2025-11-22,0,2,0%,65
2025-11-21,0,1,0%,20
2025-11-20,0,3,0%,61.67
2025-11-19,0,0,0%,0
2025-11-18,0,1,0%,74
2025-11-17,0,0,0%,0
2025-11-16,0,1,0%,75
2025-11-15,0,14,0%,15.14
2025-11-14,0,66,0%,13.42
2025-11-13,1,67,1.49%,21.64
2025-11-12,0,50,0%,13.38
2025-11-11,1,59,1.69%,17.44
2025-11-10,1,84,1.19%,18.86
2025-11-09,0,65,0%,10.22
2025-11-08,1,63,1.59%,11.25
2025-11-07,2,88,2.27%,16.17
2025-11-06,2,86,2.33%,14.45
2025-11-05,2,71,2.82%,13.28
2025-11-04,1,54,1.85%,12.35
2025-11-03,1,64,1.56%,10.61
2025-11-02,2,106,1.89%,14.35
2025-11-01,2,81,2.47%,13.88
2025-10-31,3,138,2.17%,16.04
2025-10-30,0,112,0%,11.69
2025-10-29,1,40,2.5%,15.7
2025-10-28,0,36,0%,14.03
2025-10-27,1,18,5.56%,11.17
2025-10-26,1,23,4.35%,12.57
2025-10-25,1,2,50%,1.5
2025-10-24,0,0,0%,0
2025-10-23,0,0,0%,0
2025-10-22,0,0,0%,0