País,Clics,Impresiones,CTR,Posición
España,4,78,5.13%,9.28
Rusia,3,29,10.34%,9.97
Alemania,2,45,4.44%,17.38
Estados Unidos,1,397,0.25%,19.12
Reino Unido,1,132,0.76%,13.55
Canadá,1,66,1.52%,18.77
Australia,1,61,1.64%,14.26
Francia,1,39,2.56%,13.31
Turquía,1,27,3.7%,16.15
Ucrania,1,26,3.85%,13.08
Suecia,1,21,4.76%,10.62
Lituania,1,15,6.67%,8.33
Hungría,1,8,12.5%,10
Letonia,1,8,12.5%,11.5
Israel,1,5,20%,14.8
Malasia,1,4,25%,32.75
Liechtenstein,1,1,100%,2
Brasil,0,48,0%,25.5
Países Bajos,0,26,0%,15.46
Dinamarca,0,19,0%,16.42
Polonia,0,18,0%,13.11
Argentina,0,17,0%,11.41
Finlandia,0,16,0%,6.56
Bélgica,0,16,0%,7
La India,0,16,0%,26.44
Noruega,0,14,0%,14.64
Chequia,0,14,0%,17.43
Colombia,0,11,0%,21.36
Filipinas,0,11,0%,26.18
Eslovenia,0,10,0%,8.2
Sudáfrica,0,10,0%,14.8
Irlanda,0,10,0%,47.7
Nueva Zelanda,0,9,0%,5.89
Austria,0,9,0%,6.89
Italia,0,9,0%,7.78
Irán,0,9,0%,9.56
Rumanía,0,8,0%,5.38
Chile,0,8,0%,11.38
Portugal,0,7,0%,10.57
México,0,7,0%,12.14
Iraq,0,7,0%,29.14
Corea del Sur,0,6,0%,7
Grecia,0,6,0%,7.67
Japón,0,6,0%,9.67
Uruguay,0,6,0%,16.5
Arabia Saudí,0,6,0%,31.67
Croacia,0,5,0%,6.4
Estonia,0,5,0%,8.8
Uzbekistán,0,5,0%,21.8
Senegal,0,5,0%,22.8
Indonesia,0,5,0%,24.6
Vietnam,0,5,0%,25.2
Venezuela,0,5,0%,33.2
Tailandia,0,4,0%,7
Suiza,0,4,0%,8.75
Paraguay,0,4,0%,23.75
Costa Rica,0,3,0%,6.67
Perú,0,3,0%,7
Túnez,0,3,0%,7.33
República Dominicana,0,3,0%,10.67
Serbia,0,3,0%,19
Georgia,0,3,0%,19.67
Kenia,0,3,0%,25.33
Bulgaria,0,2,0%,3
Aruba,0,2,0%,3.5
Taiwán,0,2,0%,3.5
China,0,2,0%,8
Marruecos,0,2,0%,8
Honduras,0,2,0%,10.5
Argelia,0,2,0%,13
Pakistán,0,2,0%,15.5
Ecuador,0,2,0%,19
Siria,0,2,0%,23.5
Bolivia,0,2,0%,24.5
Kirguistán,0,2,0%,32
Omán,0,2,0%,36.5
Jordania,0,2,0%,39.5
Trinidad y Tobago,0,1,0%,2
Cuba,0,1,0%,3
Reunión,0,1,0%,3
Bosnia y Herzegovina,0,1,0%,4
Belice,0,1,0%,4
Singapur,0,1,0%,4
Bielorrusia,0,1,0%,5
Guam,0,1,0%,5
Islas Feroe,0,1,0%,6
Líbano,0,1,0%,6
Luxemburgo,0,1,0%,8
Curazao,0,1,0%,9
Yemen,0,1,0%,9
Camerún,0,1,0%,10
Islandia,0,1,0%,10
Moldavia,0,1,0%,10
Eslovaquia,0,1,0%,10
Angola,0,1,0%,15
Costa de Marfil,0,1,0%,15
Panamá,0,1,0%,21
Albania,0,1,0%,22
Emiratos Árabes Unidos,0,1,0%,30
Egipto,0,1,0%,33
Malta,0,1,0%,33
Uganda,0,1,0%,40
Myanmar (Birmania),0,1,0%,41
Nigeria,0,1,0%,41
Gabón,0,1,0%,42
Región desconocida,0,1,0%,43
Bangladés,0,1,0%,45